treatment,block,card_url_1,card_url_2,card_url_3,card_url_4,card_url_5,card_url_6,card_url_example,Email
miles,1,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_1_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_1_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_1_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_1_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_1_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_1_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_1_card_6.png,miles_block_1_conservation_survey@illinois.edu
miles,2,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_2_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_2_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_2_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_2_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_2_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_2_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_2_card_6.png,miles_block_2_conservation_survey@illinois.edu
miles,3,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_3_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_3_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_3_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_3_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_3_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_3_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_3_card_6.png,miles_block_3_conservation_survey@illinois.edu
miles,4,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_4_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_4_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_4_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_4_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_4_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_4_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_4_card_6.png,miles_block_4_conservation_survey@illinois.edu
miles,5,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_5_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_5_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_5_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_5_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_5_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_5_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_5_card_6.png,miles_block_5_conservation_survey@illinois.edu
miles,6,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_6_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_6_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_6_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_6_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_6_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_6_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_6_card_6.png,miles_block_6_conservation_survey@illinois.edu
miles,7,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_7_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_7_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_7_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_7_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_7_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_7_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/miles_block_7_card_6.png,miles_block_7_conservation_survey@illinois.edu
minutes,1,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_1_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_1_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_1_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_1_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_1_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_1_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_1_card_6.png,minutes_block_1_conservation_survey@illinois.edu
minutes,2,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_2_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_2_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_2_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_2_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_2_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_2_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_2_card_6.png,minutes_block_2_conservation_survey@illinois.edu
minutes,3,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_3_card_1.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_3_card_2.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_3_card_3.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_3_card_4.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_3_card_5.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_3_card_6.png,https://bryanparthum.github.io/farmland_conservation/choice_cards/cards/minutes_block_3_card_6.png,minutes_block_3_conservation_survey@illinois.edu
