block,card,alt,title,cost,nature,farmland,meals,fruit,veggies,dist,treatment,food,alt_id,card_id,card_dcreate,ind_id,pooled_card_id,ind_card_id,choice,asc,food_fruit
1,1,1,Project,50,160,0,"4,000",4000,0,15,miles,1,1,1,1,1,1,1,0,0,4000
1,1,2,No Project,0,0,0,0,0,0,0,miles,0,2,1,1,1,1,1,1,1,0
1,2,1,Project,100,40,120,"4,000",1000,3000,5,miles,1,3,2,9,1,2,2,0,0,1000
1,2,2,No Project,0,0,0,0,0,0,0,miles,0,4,2,9,1,2,2,1,1,0
1,3,1,Project,5,40,120,0,0,0,5,miles,0,5,3,12,1,3,3,1,0,0
1,3,2,No Project,0,0,0,0,0,0,0,miles,0,6,3,12,1,3,3,0,1,0
1,4,1,Project,100,160,0,"4,000",4000,0,5,miles,1,7,4,17,1,4,4,1,0,4000
1,4,2,No Project,0,0,0,0,0,0,0,miles,0,8,4,17,1,4,4,0,1,0
1,5,1,Project,100,80,80,0,0,0,5,miles,0,9,5,18,1,5,5,0,0,0
1,5,2,No Project,0,0,0,0,0,0,0,miles,0,10,5,18,1,5,5,1,1,0
1,6,1,Project,100,120,40,"4,000",3000,1000,15,miles,1,11,6,20,1,6,6,0,0,3000
1,6,2,No Project,0,0,0,0,0,0,0,miles,0,12,6,20,1,6,6,1,1,0
1,7,1,Project,20,160,0,0,0,0,40,miles,0,13,7,21,1,7,7,0,0,0
1,7,2,No Project,0,0,0,0,0,0,0,miles,0,14,7,21,1,7,7,1,1,0
1,8,1,Project,5,120,40,0,0,0,40,miles,0,15,8,23,1,8,8,0,0,0
1,8,2,No Project,0,0,0,0,0,0,0,miles,0,16,8,23,1,8,8,1,1,0
2,1,1,Project,100,120,40,0,0,0,5,miles,0,17,9,2,2,9,9,1,0,0
2,1,2,No Project,0,0,0,0,0,0,0,miles,0,18,9,2,2,9,9,0,1,0
2,2,1,Project,50,80,80,0,0,0,40,miles,0,19,10,4,2,10,10,1,0,0
2,2,2,No Project,0,0,0,0,0,0,0,miles,0,20,10,4,2,10,10,0,1,0
2,3,1,Project,20,80,80,"4,000",2000,2000,40,miles,1,21,11,5,2,11,11,0,0,2000
2,3,2,No Project,0,0,0,0,0,0,0,miles,0,22,11,5,2,11,11,1,1,0
2,4,1,Project,50,80,80,"4,000",2000,2000,15,miles,1,23,12,8,2,12,12,0,0,2000
2,4,2,No Project,0,0,0,0,0,0,0,miles,0,24,12,8,2,12,12,1,1,0
2,5,1,Project,50,40,120,"4,000",1000,3000,40,miles,1,25,13,11,2,13,13,0,0,1000
2,5,2,No Project,0,0,0,0,0,0,0,miles,0,26,13,11,2,13,13,1,1,0
2,6,1,Project,20,160,0,0,0,0,5,miles,0,27,14,13,2,14,14,0,0,0
2,6,2,No Project,0,0,0,0,0,0,0,miles,0,28,14,13,2,14,14,1,1,0
2,7,1,Project,50,40,120,0,0,0,15,miles,0,29,15,22,2,15,15,0,0,0
2,7,2,No Project,0,0,0,0,0,0,0,miles,0,30,15,22,2,15,15,1,1,0
2,8,1,Project,5,40,120,"4,000",1000,3000,15,miles,1,31,16,24,2,16,16,1,0,1000
2,8,2,No Project,0,0,0,0,0,0,0,miles,0,32,16,24,2,16,16,0,1,0
3,1,1,Project,20,40,120,0,0,0,40,miles,0,33,17,3,3,17,17,1,0,0
3,1,2,No Project,0,0,0,0,0,0,0,miles,0,34,17,3,3,17,17,0,1,0
3,2,1,Project,5,80,80,"4,000",2000,2000,5,miles,1,35,18,6,3,18,18,0,0,2000
3,2,2,No Project,0,0,0,0,0,0,0,miles,0,36,18,6,3,18,18,1,1,0
3,3,1,Project,50,120,40,0,0,0,15,miles,0,37,19,7,3,19,19,0,0,0
3,3,2,No Project,0,0,0,0,0,0,0,miles,0,38,19,7,3,19,19,1,1,0
3,4,1,Project,20,120,40,"4,000",3000,1000,40,miles,1,39,20,10,3,20,20,1,0,3000
