email,zip,city,state
New_Haven_CT_06525@illinois.edu,06525,New_Haven,CT
New_Haven_CT_06514@illinois.edu,06514,New_Haven,CT
New_Haven_CT_06515@illinois.edu,06515,New_Haven,CT
New_Haven_CT_06517@illinois.edu,06517,New_Haven,CT
New_Haven_CT_06511@illinois.edu,06511,New_Haven,CT
New_Haven_CT_06510@illinois.edu,06510,New_Haven,CT
New_Haven_CT_06519@illinois.edu,06519,New_Haven,CT
New_Haven_CT_06513@illinois.edu,06513,New_Haven,CT
New_Haven_CT_06512@illinois.edu,06512,New_Haven,CT
New_Haven_CT_06516@illinois.edu,06516,New_Haven,CT
New_Haven_CT_06477@illinois.edu,06477,New_Haven,CT
New_Haven_CT_06473@illinois.edu,06473,New_Haven,CT
Wilmington_DE_19802@illinois.edu,19802,Wilmington,DE
Wilmington_DE_19803@illinois.edu,19803,Wilmington,DE
Wilmington_DE_19804@illinois.edu,19804,Wilmington,DE
Wilmington_DE_19805@illinois.edu,19805,Wilmington,DE
Wilmington_DE_19806@illinois.edu,19806,Wilmington,DE
Wilmington_DE_19807@illinois.edu,19807,Wilmington,DE
Wilmington_DE_19808@illinois.edu,19808,Wilmington,DE
Wilmington_DE_19809@illinois.edu,19809,Wilmington,DE
Wilmington_DE_19810@illinois.edu,19810,Wilmington,DE
Augusta_GA_30901@illinois.edu,30901,Augusta,GA
Augusta_GA_30903@illinois.edu,30903,Augusta,GA
Augusta_GA_30904@illinois.edu,30904,Augusta,GA
Augusta_GA_30905@illinois.edu,30905,Augusta,GA
Augusta_GA_30906@illinois.edu,30906,Augusta,GA
Augusta_GA_30907@illinois.edu,30907,Augusta,GA
Augusta_GA_30909@illinois.edu,30909,Augusta,GA
Augusta_GA_30912@illinois.edu,30912,Augusta,GA
Louisville_KY_40202@illinois.edu,40202,Louisville,KY
Louisville_KY_40203@illinois.edu,40203,Louisville,KY
Louisville_KY_40204@illinois.edu,40204,Louisville,KY
Louisville_KY_40205@illinois.edu,40205,Louisville,KY
Louisville_KY_40206@illinois.edu,40206,Louisville,KY
Louisville_KY_40207@illinois.edu,40207,Louisville,KY
Louisville_KY_40208@illinois.edu,40208,Louisville,KY
Louisville_KY_40209@illinois.edu,40209,Louisville,KY
Louisville_KY_40210@illinois.edu,40210,Louisville,KY
Louisville_KY_40211@illinois.edu,40211,Louisville,KY
Louisville_KY_40212@illinois.edu,40212,Louisville,KY
Louisville_KY_40213@illinois.edu,40213,Louisville,KY
Louisville_KY_40214@illinois.edu,40214,Louisville,KY
Louisville_KY_40215@illinois.edu,40215,Louisville,KY
Louisville_KY_40216@illinois.edu,40216,Louisville,KY
Louisville_KY_40217@illinois.edu,40217,Louisville,KY
Louisville_KY_40218@illinois.edu,40218,Louisville,KY
Louisville_KY_40219@illinois.edu,40219,Louisville,KY
Louisville_KY_40220@illinois.edu,40220,Louisville,KY
Louisville_KY_40222@illinois.edu,40222,Louisville,KY
Louisville_KY_40223@illinois.edu,40223,Louisville,KY
Louisville_KY_40228@illinois.edu,40228,Louisville,KY
Louisville_KY_40229@illinois.edu,40229,Louisville,KY
Louisville_KY_40231@illinois.edu,40231,Louisville,KY
Louisville_KY_40241@illinois.edu,40241,Louisville,KY
Louisville_KY_40242@illinois.edu,40242,Louisville,KY
Louisville_KY_40243@illinois.edu,40243,Louisville,KY
Louisville_KY_40245@illinois.edu,40245,Louisville,KY
Louisville_KY_40258@illinois.edu,40258,Louisville,KY
Louisville_KY_40272@illinois.edu,40272,Louisville,KY
Louisville_KY_40280@illinois.edu,40280,Louisville,KY
Louisville_KY_40291@illinois.edu,40291,Louisville,KY
Louisville_KY_40299@illinois.edu,40299,Louisville,KY
Charlotte_NC_28202@illinois.edu,28202,Charlotte,NC
Charlotte_NC_28203@illinois.edu,28203,Charlotte,NC
Charlotte_NC_28204@illinois.edu,28204,Charlotte,NC
Charlotte_NC_28205@illinois.edu,28205,Charlotte,NC
Charlotte_NC_28206@illinois.edu,28206,Charlotte,NC
Charlotte_NC_28207@illinois.edu,28207,Charlotte,NC
Charlotte_NC_28208@illinois.edu,28208,Charlotte,NC
Charlotte_NC_28209@illinois.edu,28209,Charlotte,NC
Charlotte_NC_28210@illinois.edu,28210,Charlotte,NC
Charlotte_NC_28211@illinois.edu,28211,Charlotte,NC
Charlotte_NC_28212@illinois.edu,28212,Charlotte,NC
Charlotte_NC_28213@illinois.edu,28213,Charlotte,NC
Charlotte_NC_28214@illinois.edu,28214,Charlotte,NC
Charlotte_NC_28215@illinois.edu,28215,Charlotte,NC
Charlotte_NC_28216@illinois.edu,28216,Charlotte,NC
Charlotte_NC_28217@illinois.edu,28217,Charlotte,NC
Charlotte_NC_28226@illinois.edu,28226,Charlotte,NC
Charlotte_NC_28227@illinois.edu,28227,Charlotte,NC
Charlotte_NC_28244@illinois.edu,28244,Charlotte,NC
Charlotte_NC_28262@illinois.edu,28262,Charlotte,NC
Charlotte_NC_28269@illinois.edu,28269,Charlotte,NC
Charlotte_NC_28270@illinois.edu,28270,Charlotte,NC
Charlotte_NC_28273@illinois.edu,28273,Charlotte,NC
Charlotte_NC_28277@illinois.edu,28277,Charlotte,NC
Charlotte_NC_28278@illinois.edu,28278,Charlotte,NC
Charlotte_NC_28280@illinois.edu,28280,Charlotte,NC
Charlotte_NC_28282@illinois.edu,28282,Charlotte,NC
Columbia_SC_29201@illinois.edu,29201,Columbia,SC
Columbia_SC_29202@illinois.edu,29202,Columbia,SC
Columbia_SC_29203@illinois.edu,29203,Columbia,SC
Columbia_SC_29204@illinois.edu,29204,Columbia,SC
Columbia_SC_29205@illinois.edu,29205,Columbia,SC
Columbia_SC_29206@illinois.edu,29206,Columbia,SC
Columbia_SC_29207@illinois.edu,29207,Columbia,SC
Columbia_SC_29208@illinois.edu,29208,Columbia,SC
Columbia_SC_29209@illinois.edu,29209,Columbia,SC
Columbia_SC_29210@illinois.edu,29210,Columbia,SC
Columbia_SC_29212@illinois.edu,29212,Columbia,SC
Columbia_SC_29223@illinois.edu,29223,Columbia,SC
Columbia_SC_29225@illinois.edu,29225,Columbia,SC
Columbia_SC_29229@illinois.edu,29229,Columbia,SC
Nashville_TN_37201@illinois.edu,37201,Nashville,TN
Nashville_TN_37203@illinois.edu,37203,Nashville,TN
Nashville_TN_37204@illinois.edu,37204,Nashville,TN
Nashville_TN_37205@illinois.edu,37205,Nashville,TN
Nashville_TN_37206@illinois.edu,37206,Nashville,TN
Nashville_TN_37207@illinois.edu,37207,Nashville,TN
Nashville_TN_37208@illinois.edu,37208,Nashville,TN
Nashville_TN_37209@illinois.edu,37209,Nashville,TN
Nashville_TN_37210@illinois.edu,37210,Nashville,TN
Nashville_TN_37211@illinois.edu,37211,Nashville,TN
Nashville_TN_37212@illinois.edu,37212,Nashville,TN
Nashville_TN_37213@illinois.edu,37213,Nashville,TN
Nashville_TN_37214@illinois.edu,37214,Nashville,TN
Nashville_TN_37215@illinois.edu,37215,Nashville,TN
Nashville_TN_37216@illinois.edu,37216,Nashville,TN
Nashville_TN_37217@illinois.edu,37217,Nashville,TN
Nashville_TN_37218@illinois.edu,37218,Nashville,TN
Nashville_TN_37219@illinois.edu,37219,Nashville,TN
Nashville_TN_37220@illinois.edu,37220,Nashville,TN
Nashville_TN_37221@illinois.edu,37221,Nashville,TN
Nashville_TN_37228@illinois.edu,37228,Nashville,TN
Nashville_TN_37240@illinois.edu,37240,Nashville,TN
Nashville_TN_37243@illinois.edu,37243,Nashville,TN
Nashville_TN_37246@illinois.edu,37246,Nashville,TN
Grand_Rapids_MI_49503@illinois.edu,49503,Grand_Rapids,MI
Grand_Rapids_MI_49504@illinois.edu,49504,Grand_Rapids,MI
Grand_Rapids_MI_49505@illinois.edu,49505,Grand_Rapids,MI
Grand_Rapids_MI_49506@illinois.edu,49506,Grand_Rapids,MI
Grand_Rapids_MI_49507@illinois.edu,49507,Grand_Rapids,MI
Grand_Rapids_MI_49508@illinois.edu,49508,Grand_Rapids,MI
Grand_Rapids_MI_49509@illinois.edu,49509,Grand_Rapids,MI
Grand_Rapids_MI_49512@illinois.edu,49512,Grand_Rapids,MI
Grand_Rapids_MI_49519@illinois.edu,49519,Grand_Rapids,MI
Grand_Rapids_MI_49525@illinois.edu,49525,Grand_Rapids,MI
Grand_Rapids_MI_49534@illinois.edu,49534,Grand_Rapids,MI
